#arm	4ddb2c3	cas=actor-4arg requestCancel=(id,version) resolveUnknown=(snapshot) java=21.0.10
P1	closed	stranger refused (null)
R1-4	closed	own old snapshot refused (null); after re-read A refused (null)
SYNTH	closed	spliced stale claim refused (null)
R1-1b	closed	expired owner refused (null)
FORCE-UNKNOWN	closed	stranger refused (null)
REWIND	closed	stranger's rewind refused (null)
R1-2	closed	takeover of EXECUTING -> claim(b)=null; stored UNKNOWN v3 owner=owner-a gen=1 seq=0
R1-5b	closed	resume refused (null); claim(b)=null
R1-3a	closed	escape refused (null)
R1-3b1	closed	erase refused (threw IllegalArgumentException: replacement must not drop a cancellation request)
P11	closed	backwards move refused (threw IllegalArgumentException: execution state must not move backwards)
R1-5a	closed	claim drop refused (threw IllegalArgumentException: replacement must preserve execution identity, dispatch claim, version, and result sequence)
R1-1a	closed	claim rewrite refused (threw IllegalArgumentException: replacement must preserve execution identity, dispatch claim, version, and result sequence)
R1-9	closed	regression refused (threw IllegalArgumentException: replacement must preserve execution identity, dispatch claim, version, and result sequence)
R1-8	closed	mutable Number rejected (unsupported JSON value)
R1-3b2	closed	incoherent record not constructible
R2-1	closed	forged expected refused (threw IllegalArgumentException: replacement must not drop a cancellation request)
R1-9-forged	OPEN	stored lastSequence 5 -> 0 via an expected rebuilt in-package (constructor is package-private)
UNLISTED	accepted	accepted: [DISPATCHING->CANCEL_REQUESTED, CANCEL_REQUESTED->EXECUTING, EXECUTING->EXECUTING, CANCEL_REQUESTED->CANCEL_REQUESTED]; refused: [EXECUTING->DISPATCHING, EXECUTING->PREPARED, CANCEL_REQUESTED->DISPATCHING]
OWN-UNKNOWN	ok	lease holder recorded UNKNOWN v3 owner=owner-a gen=1 seq=0 -> resolved SETTLED v4 owner=owner-a gen=1 seq=0 status=success; active=false
KEEP-UNKNOWN	ok	recorded UNKNOWN v2 owner=owner-a gen=1 seq=0 -> resolved after the lease ended SETTLED v3 owner=owner-a gen=1 seq=0 status=success; active=false
LIVE	ok	takeover gave UNKNOWN v3 owner=owner-a gen=1 seq=0 -> resolved 1 h later SETTLED v4 owner=owner-a gen=1 seq=0 status=success; active=false
CTL	ok	claim, EXECUTING, renew, host cancel -> CANCEL_REQUESTED, owner settles cancelled; cancel on PREPARED -> SETTLED v1 owner=null gen=0 cancel seq=0 status=cancelled; active=false
NOTE-sameRequest	closed	public
NOTE-candidate-seq	closed	refused
NOTE-map-key	closed	IllegalArgumentException
NOTE-ctor	closed	not public
