#arm	L2	cas=fenced-4arg requestCancel=true resolveUnknown(repo)=false java=21.0.10
P1	closed	stranger refused (null)
R1-4	closed	evicted A refused; B settles: SETTLED v3 owner=owner-b gen=2 seq=0
R1-1b	closed	expired owner refused (null)
R1-1a	closed	claim rewrite refused (threw IllegalArgumentException: replacement must preserve or advance the dispatch claim)
R1-5a	closed	claim drop refused (threw IllegalArgumentException: replacement must preserve or advance the dispatch claim)
R1-5b	closed	UNKNOWN via takeover (own withUnknown refused); resume refused (null); claim(b)=null
R1-3a	closed	UNKNOWN via takeover (own withUnknown refused); escape refused (null)
OWN-UNKNOWN	BLOCKED	lease holder's withUnknown() refused (threw IllegalArgumentException: replacement must preserve or advance the dispatch claim)
KEEP-UNKNOWN	STUCK	withState(UNKNOWN) kept owner=owner-a, renew=null, lease ended -> resolution refused (as former owner: null; as anyone: null); 1h later session active=true
R1-3b1	closed	erase refused (threw IllegalArgumentException: cancellation intent must be preserved)
R1-3b2	OPEN	incoherent CANCEL_REQUESTED stored; after expiry claim(b)=DISPATCHING v3 owner=owner-b gen=2 seq=0
R1-2	closed	takeover of EXECUTING -> claim(b)=null; stored UNKNOWN v3 owner=null gen=1 seq=0
P11	closed	backwards move refused (threw IllegalStateException: execution state must not move backwards)
R1-9	closed	regression refused (threw IllegalArgumentException: result sequence must not move backwards)
R1-8	closed	mutable Number rejected (unsupported JSON value)
LIVE	STUCK	UNKNOWN UNKNOWN v3 owner=null gen=1 seq=0 -> resolution refused (as former owner: null; as anyone: null); claim=null; 1h later session active=true
CTL	ok	owner EXECUTING, renew, host cancel, owner settles cancelled; session active=false
NOTE-sameRequest	closed	public
NOTE-candidate-seq	closed	refused (candidate must be a new prepared execution)
NOTE-ctor	closed	20-arg constructor not public
NOTE-map-key	closed	IllegalArgumentException: map key must be a string
