M01 | findOrCreate: generation always 1 | killed
M02 | findOrCreate: slot never records the active binding | killed
M03 | binding CAS: version fence removed | SURVIVED
M04 | binding CAS: sameOperation fence removed | SURVIVED
M05 | binding CAS: live-lease requirement removed | SURVIVED
M06 | binding CAS: terminal reactivation allowed | killed
M07 | binding CAS: version not bumped | SURVIVED
M08 | binding CAS: slot not released on terminal state | killed
M09 | claim: terminal binding can be claimed | SURVIVED
M10 | claim: same-owner fast path removed (re-claim bumps) | SURVIVED
M11 | claim: foreign live lease NOT fenced | killed
M12 | claim: takeover keeps operationGeneration | killed
M13 | claim: version not bumped | SURVIVED
M14 | renew: owner check removed | SURVIVED
M15 | renew: operationGeneration check removed | SURVIVED
M16 | renew: expired lease can be renewed | SURVIVED
M17 | renew: terminal binding can be renewed | SURVIVED
M18 | findActiveByIsolationKey: terminal bindings included | killed
M19 | renew: version not bumped | killed
M20 | binding CAS: identity fence removed | SURVIVED
M21 | binding CAS: replacement may change version | SURVIVED
M22 | lease duration not truncated to micros | killed
M23 | transaction: no rollback on SQLException | SURVIVED
M24 | transaction: no rollback on RuntimeException | SURVIVED
M25 | transaction: explicit commit() removed | SURVIVED
M26 | isConstraintViolation always false | killed
M27 | session findOrCreate: existing identity not checked | killed
M28 | session findOrCreate: race winner identity not checked | SURVIVED
M29 | session CAS: version fence removed | SURVIVED
M30 | session CAS: terminal reactivation allowed | killed
M31 | session CAS: version not bumped | SURVIVED
M32 | countActive: terminal sessions counted | killed
M33 | countActive: generation filter widened (>=) | SURVIVED
M34 | session candidate: version!=0 accepted | SURVIVED
M35 | session candidate: non-ACQUIRING accepted | SURVIVED
M36 | session CAS: identity fence removed | SURVIVED
M37 | session lookup ignores tenant scope in SQL | killed
M38 | binding CAS: stale slot pointer check removed | SURVIVED
PR suite kills 14/38
