edges 1440 base 64px survey-api->compare-findings:adjacent:[28,0]:right | read-tests->compare-findings:adjacent:[28,0]:right | compare-findings->write-summary:adjacent:[28,0]:right | check-docs->write-summary:lane:[18,0]:right problems 0
edges 1440 revert 64px survey-api->compare-findings:adjacent:[28,0]:right | read-tests->compare-findings:adjacent:[28,0]:right | compare-findings->write-summary:adjacent:[28,0]:right | check-docs->write-summary:lane:[18,0]:right problems 0
edges 1440 head 64px survey-api->compare-findings:adjacent:[28,0]:right | read-tests->compare-findings:adjacent:[28,0]:right | compare-findings->write-summary:adjacent:[28,0]:right | check-docs->write-summary:lane:[18,0]:right problems 0
edges 700 base 64px survey-api->compare-findings:adjacent:[28,0]:right | read-tests->compare-findings:adjacent:[28,0]:right | compare-findings->write-summary:adjacent:[28,0]:right | check-docs->write-summary:lane:[18,0]:right problems 0
edges 700 revert 32px survey-api->compare-findings:adjacent:[0,0]:degenerate | read-tests->compare-findings:adjacent:[0,0]:degenerate | compare-findings->write-summary:adjacent:[0,0]:degenerate | check-docs->write-summary:lane:[18,0]:right problems 0
edges 700 head 32px survey-api->compare-findings:adjacent:[12,0]:right | read-tests->compare-findings:adjacent:[12,0]:right | compare-findings->write-summary:adjacent:[12,0]:right | check-docs->write-summary:lane:[18,0]:right problems 0
edges 430 base 64px survey-api->compare-findings:adjacent:[28,0]:right | read-tests->compare-findings:adjacent:[28,0]:right | compare-findings->write-summary:adjacent:[28,0]:right | check-docs->write-summary:lane:[18,0]:right problems 0
edges 430 revert 18px survey-api->compare-findings:adjacent:[-14,0]:LEFT | read-tests->compare-findings:adjacent:[-14,0]:LEFT | compare-findings->write-summary:adjacent:[-14,0]:LEFT | check-docs->write-summary:lane:[18,0]:right X[["compare-findings",106,106]] problems 0
edges 430 head 18px survey-api->compare-findings:adjacent:[5,0]:right | read-tests->compare-findings:adjacent:[5,0]:right | compare-findings->write-summary:adjacent:[5,0]:right | check-docs->write-summary:lane:[18,0]:right X[["compare-findings",106,106]] problems 0
edges 390 base 64px survey-api->compare-findings:adjacent:[28,0]:right | read-tests->compare-findings:adjacent:[28,0]:right | compare-findings->write-summary:adjacent:[28,0]:right | check-docs->write-summary:lane:[18,0]:right problems 0
edges 390 revert 18px survey-api->compare-findings:adjacent:[-14,0]:LEFT | read-tests->compare-findings:adjacent:[-14,0]:LEFT | compare-findings->write-summary:adjacent:[-14,0]:LEFT | check-docs->write-summary:lane:[18,0]:right X[["compare-findings",106,106]] problems 0
edges 390 head 18px survey-api->compare-findings:adjacent:[5,0]:right | read-tests->compare-findings:adjacent:[5,0]:right | compare-findings->write-summary:adjacent:[5,0]:right | check-docs->write-summary:lane:[18,0]:right X[["compare-findings",106,106]] problems 0
EXIT=0
