#arm	C2-fresh	cas=fenced-4arg requestCancel=true resolveUnknown(repo)=true java=21.0.10
P1	closed	stranger refused (null)
R1-4	closed	evicted A refused; B settles: SETTLED v3 owner=owner-b gen=2 seq=0
R1-1b	closed	expired owner refused (null)
R1-1a	closed	claim rewrite refused (threw IllegalArgumentException: replacement must preserve or advance the dispatch claim)
R1-5a	closed	claim drop refused (threw IllegalArgumentException: replacement must preserve or advance the dispatch claim)
R1-5b	closed	UNKNOWN via own withUnknown; resume refused (null); claim(b)=null
R1-3a	closed	UNKNOWN via own withUnknown; escape refused (null)
OWN-UNKNOWN	ok	lease holder's withUnknown() accepted: UNKNOWN v3 owner=null gen=1 seq=0
R1-3b1	closed	erase refused (threw IllegalArgumentException: cancellation intent must be preserved)
R1-3b2	closed	incoherent record not constructible (cancel-requested state requires cancellation intent)
R1-2	closed	takeover of EXECUTING -> claim(b)=null; stored UNKNOWN v3 owner=null gen=1 seq=0
P11	closed	backwards move refused (threw IllegalStateException: execution state must not move backwards)
R1-9	closed	regression refused (threw IllegalArgumentException: result sequence must not move backwards)
R1-8	closed	mutable Number rejected (unsupported JSON value)
LIVE	ok	UNKNOWN UNKNOWN v3 owner=null gen=1 seq=0 -> resolved SETTLED v4 owner=null gen=1 seq=0; session active=false
CTL	ok	owner EXECUTING, renew, host cancel, owner settles cancelled; session active=false
NOTE-sameRequest	closed	public
NOTE-candidate-seq	closed	refused (candidate must be a new prepared execution)
NOTE-ctor	closed	20-arg constructor not public
NOTE-map-key	closed	IllegalArgumentException: map key must be a string
