#arm	9fcc065	cas= snapshot-2arg requestCancel=none resolveUnknown=none java=21.0.10
P1	OPEN	stranger settled during owner-a's live lease: SETTLED v2 owner=owner-a gen=1 seq=0 status=error
R1-4	OPEN	own old snapshot refused (null); after re-read A settled SETTLED v3 owner=owner-b gen=2 seq=0 status=error; B refused (null); session active=false
SYNTH	OPEN	spliced stale claim at current version accepted
R1-1b	OPEN	expired owner settled
FORCE-UNKNOWN	OPEN	stranger moved the live execution to UNKNOWN v3 owner=null gen=1 seq=0; owner-a's own settle then refused (null)
REWIND	OPEN	stranger rewound EXECUTING -> PREPARED; after A's lease expired claim(b)=DISPATCHING v4 owner=owner-b gen=2 seq=0
R1-2	OPEN	takeover of EXECUTING -> claim(b)=DISPATCHING v3 owner=owner-b gen=2 seq=0; stored DISPATCHING v3 owner=owner-b gen=2 seq=0
R1-5b	OPEN	resume accepted EXECUTING v3 owner=null gen=1 seq=0; claim(b)=DISPATCHING v4 owner=dispatcher-b gen=2 seq=0
R1-3a	OPEN	UNKNOWN escaped to PREPARED
R1-3b1	OPEN	cancel intent erased: EXECUTING v4 owner=owner-a gen=1 seq=0
P11	OPEN	EXECUTING -> PREPARED accepted: PREPARED v3 owner=owner-a gen=1 seq=0; claim(b) while A's lease is live = null
R1-5a	OPEN	claim drop accepted; claim(b)=DISPATCHING v4 owner=dispatcher-b gen=2 seq=0
R1-1a	OPEN	generation regressed 3 -> 1
R1-9	OPEN	lastSequence 5 -> 0 accepted, settled at 1
R1-8	OPEN	stored result value after caller mutation = 1000
R1-3b2	stored	CANCEL_REQUESTED/cancelRequested=false stored: CANCEL_REQUESTED v2 owner=owner-a gen=1 seq=0 (takeover now yields UNKNOWN, so the old DISPATCHING rewrite is gone)
OWN-UNKNOWN	ok	lease holder recorded UNKNOWN v3 owner=null gen=1 seq=0 -> resolved SETTLED v4 owner=null gen=1 seq=0 status=success; active=false
KEEP-UNKNOWN	ok	recorded UNKNOWN v2 owner=owner-a gen=1 seq=0 -> resolved after the lease ended SETTLED v3 owner=null gen=1 seq=0 status=success; active=false
LIVE	n/a	takeover gave DISPATCHING v3 owner=owner-b gen=2 seq=0 (no UNKNOWN on this arm)
CTL	ok	claim, EXECUTING, renew, host cancel -> CANCEL_REQUESTED, owner settles cancelled; cancel on PREPARED -> PREPARED v1 owner=null gen=0 cancel seq=0; active=true
NOTE-sameRequest	OPEN	package-private
NOTE-candidate-seq	OPEN	candidate with lastSequence=5 admitted
NOTE-map-key	OPEN	ClassCastException
NOTE-ctor	OPEN	20-arg constructor public
