#arm	F	cas=actor-4arg requestCancel=(id,version) resolveUnknown=(snapshot) java=21.0.10
P1	closed	stranger refused (null)
R1-4	closed	own old snapshot refused (null); after re-read A refused (null)
SYNTH	closed	spliced stale claim refused (null)
R1-1b	closed	expired owner refused (null)
FORCE-UNKNOWN	closed	stranger refused (null)
REWIND	closed	stranger's rewind refused (null)
R1-2	closed	takeover of EXECUTING -> claim(b)=null; stored UNKNOWN v3 owner=owner-a gen=1 seq=0
R1-5b	closed	resume refused (null); claim(b)=null
R1-3a	closed	escape refused (null)
R1-3b1	closed	erase refused (threw IllegalArgumentException: replacement must not drop a cancellation request)
P11	OPEN	EXECUTING -> PREPARED accepted: PREPARED v3 owner=owner-a gen=1 seq=0; claim(b) while A's lease is live = null
R1-5a	closed	claim drop refused (threw IllegalArgumentException: replacement must preserve execution identity, dispatch claim, and version)
R1-1a	closed	claim rewrite refused (threw IllegalArgumentException: replacement must preserve execution identity, dispatch claim, and version)
R1-9	OPEN	lastSequence 5 -> 0 accepted, settled at 1
R1-8	OPEN	stored result value after caller mutation = 1000
R1-3b2	stored	CANCEL_REQUESTED/cancelRequested=false stored: CANCEL_REQUESTED v2 owner=owner-a gen=1 seq=0 (takeover now yields UNKNOWN, so the old DISPATCHING rewrite is gone)
OWN-UNKNOWN	ok	lease holder recorded UNKNOWN v3 owner=owner-a gen=1 seq=0 -> resolved SETTLED v4 owner=null gen=1 seq=0 status=success; active=false
KEEP-UNKNOWN	ok	recorded UNKNOWN v2 owner=owner-a gen=1 seq=0 -> resolved after the lease ended SETTLED v3 owner=null gen=1 seq=0 status=success; active=false
LIVE	ok	takeover gave UNKNOWN v3 owner=owner-a gen=1 seq=0 -> resolved 1 h later SETTLED v4 owner=null gen=1 seq=0 status=success; active=false
CTL	ok	claim, EXECUTING, renew, host cancel -> CANCEL_REQUESTED, owner settles cancelled; cancel on PREPARED -> SETTLED v1 owner=null gen=0 cancel seq=0 status=cancelled; active=false
NOTE-sameRequest	OPEN	package-private
NOTE-candidate-seq	OPEN	candidate with lastSequence=5 admitted
NOTE-map-key	OPEN	ClassCastException
NOTE-ctor	OPEN	20-arg constructor public
