M01	still-survives	requireLiveBinding: generation must match
M02	still-survives	requireLiveBinding: lease must match
M03	still-survives	provision: expired claim never publishes (fenced)
M04	PROBE-KILLED	provision failure writes FAILED	| BUG   S8-a       provisioner error -> async RuntimeBrokerException(503 runtime_provision_failed, retryable=true); binding-1 PROVISIONING || BUG   S8-b       retry -> generation -; null lease -> async RuntimeBrokerException(503 runtime_provision_failed, retryable=true); -
M05	PROBE-KILLED	provision: READY CAS failure is fenced	| BUG   S8-c       claim expired and taken by other-broker (gen 2): late lease -> async NullPointerException(Cannot invoke "com.alibaba.qwen.code.runtim || 10 PROBE ROW(S) FLAGGED
M06	still-survives	ensureBinding: FAILED/DRAINING binding refused
M08	still-survives	acquire: stored READY skips Runtime acquire
M09	PROBE-KILLED	acquire: non-ACQUIRING refused	| BUG   S9-c       re-acquire a RELEASED id -> async IllegalArgumentException(terminal Session cannot be reactivated) || 10 PROBE ROW(S) FLAGGED
M11	PROBE-KILLED	requireSession: Harness Session must match	| control(B, rs-a)                     ok || createExecution(B, rs-a)             ok
M12	still-survives	control: re-check READY under lock
M17	PROBE-KILLED	release: negative ack is not success	| BUG   S9-a       negative ack -> true, RELEASED, control -> async RuntimeBrokerException(404 runtime_session_not_found, retryable=false) || ok    S9-b       retry -> true, repeat -> true without another Runtime call (1 total)
M19	still-survives	release: only READY/RELEASING may release
M20	still-survives	releasedSession: Harness Session must match
M21	still-survives	create: reference sessionId must match
M23	PROBE-KILLED	create: dispatch only PREPARED	| createExecution #2 (same key) -> ok, state SETTLED || after the dispatch lease expired, createExecution #3 -> SETTLED
M24	still-survives	dispatch: missing result is ambiguous
M25	still-survives	dispatch: invalid result -> UNKNOWN
M27	still-survives	enterExecuting: sticky cancel settles
M28	still-survives	settle: this dispatch must still own it
M29	still-survives	requestCancel: already-requested short-circuit
M30	PROBE-KILLED	cancel: physical cancel only for CANCEL_REQUESTED	| cancelExecution -> DISPATCHING cancelRequested=true, transport.cancel calls=1
M32	still-survives	cancel: status must be a known Runtime state
M33	still-survives	requireExecution: Runtime Session must match
M34	still-survives	requireExecution: Harness Session must match
M35	still-survives	requireExecution: binding generation must match
M36	still-survives	renewal cadence is one third of the lease
M37	still-survives	close() stops the renewal scheduler
M38	PROBE-KILLED	closed service rejects new work	| after close(): acquire -> ok
# probes kill 8/28 PR-test survivors
