M01	binding	SURVIVED	requireLiveBinding: generation must match	
M02	binding	SURVIVED	requireLiveBinding: lease must match	
M03	binding	SURVIVED	provision: expired claim never publishes (fenced)	
M04	binding	SURVIVED	provision failure writes FAILED	
M05	binding	SURVIVED	provision: READY CAS failure is fenced	
M06	binding	SURVIVED	ensureBinding: FAILED/DRAINING binding refused	
M07	binding	KILLED	provision: renewal of operation claim	provisioningLeaseIsRenewedUntilProvisionerCompletes
M08	session	SURVIVED	acquire: stored READY skips Runtime acquire	
M09	session	SURVIVED	acquire: non-ACQUIRING refused	
M10	session	KILLED	acquire: same Harness/turnKind/scope	runtimeSessionIdentityCannotMoveBetweenHarnessSessions
M11	session	KILLED	requireSession: Harness Session must match	anotherHarnessSessionCannotDriveARuntimeSession
M12	session	SURVIVED	control: re-check READY under lock	
M13	session	KILLED	control: count in-flight control	inFlightControlBlocksRelease
M14	session	KILLED	control: operation allowlist	controlUsesTheExistingPrivateOperationAllowlist
M15	release	KILLED	release: in-flight control blocks	inFlightControlBlocksRelease
M16	release	KILLED	release: unsettled execution blocks	releaseWaitsForActiveExecutionAndThenRemovesSession
M17	release	SURVIVED	release: negative ack is not success	
M18	release	KILLED	release: persist RELEASED	releaseWaitsForActiveExecutionAndThenRemovesSession
M19	release	SURVIVED	release: only READY/RELEASING may release	
M20	release	SURVIVED	releasedSession: Harness Session must match	
M21	exec	SURVIVED	create: reference sessionId must match	
M22	exec	KILLED	create: same idempotency request	changedRequestCannotReuseAnIdempotencyKey
M23	exec	BAD_PATTERN(0)	create: dispatch only PREPARED	
M24	exec	SURVIVED	dispatch: missing result is ambiguous	
M25	exec	SURVIVED	dispatch: invalid result -> UNKNOWN	
M26	exec	KILLED	dispatch: renew dispatch lease	dispatchLeaseIsRenewedUntilExecutionCompletes
M27	exec	KILLED	enterExecuting: sticky cancel settles	cancellationSettlesAnInterruptedDispatch
M28	exec	SURVIVED	settle: this dispatch must still own it	
M29	exec	SURVIVED	requestCancel: already-requested short-circuit	
M30	cancel	SURVIVED	cancel: physical cancel only for CANCEL_REQUESTED	
M31	cancel	KILLED	cancel: only settled evidence settles	cancellationIntentSurvivesUntilPhysicalExecutionSettles
M32	cancel	SURVIVED	cancel: status must be a known Runtime state	
M33	exec	SURVIVED	requireExecution: Runtime Session must match	
M34	exec	SURVIVED	requireExecution: Harness Session must match	
M35	exec	SURVIVED	requireExecution: binding generation must match	
M36	misc	SURVIVED	renewal cadence is one third of the lease	
M37	misc	SURVIVED	close() stops the renewal scheduler	
M38	misc	SURVIVED	closed service rejects new work	
# killed 12/38
