#arm	L1	cas=fenced-4arg requestCancel=true resolveUnknown(repo)=false java=21.0.10
P1	closed	stranger refused (null)
R1-4	closed	evicted A refused; B settles: SETTLED v3 owner=owner-b gen=2 seq=0
R1-1b	closed	expired owner refused (null)
R1-1a	OPEN	generation regressed 3->1: DISPATCHING v4 owner=owner-a gen=1 seq=0; renew(owner-a,1)=true
R1-5a	closed*	drop accepted, dispatcher-b refused; record now UNKNOWN v4 owner=null gen=1 seq=0
R1-5b	closed	resume refused (null); claim(b)=null
R1-3a	closed	escape refused (null)
R1-3b1	closed	erase refused (threw IllegalArgumentException: cancellation intent must be preserved)
R1-3b2	OPEN	incoherent CANCEL_REQUESTED stored; after expiry claim(b)=DISPATCHING v3 owner=owner-b gen=2 seq=0
R1-2	closed	takeover of EXECUTING -> claim(b)=null; stored UNKNOWN v3 owner=null gen=1 seq=0
P11	closed	backwards move refused (threw IllegalStateException: execution state must not move backwards)
R1-9	OPEN	seq 5 -> 0 accepted, settled at seq 1
R1-8	OPEN	settled SETTLED v2 owner=owner-a gen=1 seq=0, result value after caller mutation = 1000
LIVE	STUCK	UNKNOWN UNKNOWN v3 owner=null gen=1 seq=0 -> resolution refused (as former owner: null; as anyone: null); claim=null; 1h later session active=true
CTL	ok	owner EXECUTING, renew, host cancel, owner settles cancelled; session active=false
NOTE-sameRequest	closed	public
NOTE-candidate-seq	closed	refused (candidate must be a new prepared execution)
NOTE-map-key	closed	IllegalArgumentException: map key must be a string
