#arm	head	cas=+unfenced-2arg requestCancel=false resolveUnknown(repo)=false java=21.0.10
P1	OPEN	stranger settled: SETTLED v2 owner=owner-a gen=1 seq=0
R1-4	OPEN	evicted A settled; B refused (null)
R1-1b	OPEN	expired owner settled
R1-1a	OPEN	generation regressed 3->1: DISPATCHING v4 owner=owner-a gen=1 seq=0; renew(owner-a,1)=true
R1-5a	OPEN	drop accepted; dispatcher-b elected with 25s of A's lease left: DISPATCHING v4 owner=dispatcher-b gen=2 seq=0
R1-5b	OPEN	UNKNOWN via own withUnknown; resume accepted: EXECUTING v3 owner=null gen=1 seq=0; claim(b)=DISPATCHING v4 owner=dispatcher-b gen=2 seq=0
R1-3a	OPEN	UNKNOWN (own withUnknown) escaped to PREPARED; re-claim DISPATCHING v4 owner=owner-c gen=2 seq=0
OWN-UNKNOWN	ok	lease holder's withUnknown() accepted: UNKNOWN v3 owner=null gen=1 seq=0
R1-3b1	OPEN	cancel intent erased: EXECUTING v4 owner=owner-a gen=1 seq=0
R1-3b2	OPEN	incoherent CANCEL_REQUESTED stored; after expiry claim(b)=DISPATCHING v3 owner=owner-b gen=2 seq=0
R1-2	OPEN	takeover of EXECUTING -> claim(b)=DISPATCHING v3 owner=owner-b gen=2 seq=0; stored DISPATCHING v3 owner=owner-b gen=2 seq=0
P11	OPEN	EXECUTING -> PREPARED accepted: PREPARED v3 owner=owner-a gen=1 seq=0
R1-9	OPEN	seq 5 -> 0 accepted, settled at seq 1
R1-8	OPEN	settled SETTLED v2 owner=owner-a gen=1 seq=0, result value after caller mutation = 1000
LIVE	ok	UNKNOWN UNKNOWN v4 owner=null gen=2 seq=0 -> resolved SETTLED v5 owner=null gen=2 seq=0; session active=false
CTL	ok	owner EXECUTING, renew, host cancel, owner settles cancelled; session active=false
NOTE-sameRequest	OPEN	package-private
NOTE-candidate-seq	OPEN	PREPARED candidate with lastSequence=5 admitted
NOTE-ctor	OPEN	20-arg constructor public
NOTE-map-key	OPEN	ClassCastException: class java.lang.Integer cannot be cast to class java.lang.String (java.lang.Integer and java.lang.String are in module java.base of loader 'bootstrap')
